id	text	source
ALM-ESTOP	Emergency stop not healthy	Line.EStopOk
ALM-CV01-JAM	CV01 jam	CV01.Jam
ALM-CV01-VFD	CV01 VFD fault	CV01.VfdFault
ALM-CV02-JAM	CV02 jam	CV02.Jam
ALM-CV03-JAM	CV03 jam	CV03.Jam
ALM-CV03-VFD	CV03 VFD fault	CV03.VfdFault
ALM-CV04-JAM	CV04 jam	CV04.Jam
ALM-CV04-VFD	CV04 VFD fault	CV04.VfdFault
ALM-CV05-JAM	CV05 jam	CV05.Jam
ALM-CV06-JAM	CV06 jam	CV06.Jam
ALM-CV06-VFD	CV06 VFD fault	CV06.VfdFault
ALM-CV07-JAM	CV07 jam	CV07.Jam
ALM-CV07-VFD	CV07 VFD fault	CV07.VfdFault
ALM-CV08-JAM	CV08 jam	CV08.Jam
ALM-CV09-JAM	CV09 jam	CV09.Jam
ALM-CV09-VFD	CV09 VFD fault	CV09.VfdFault
ALM-CV10-JAM	CV10 jam	CV10.Jam
ALM-CV10-VFD	CV10 VFD fault	CV10.VfdFault
ALM-CV11-JAM	CV11 jam	CV11.Jam
ALM-CV12-JAM	CV12 jam	CV12.Jam
ALM-CV12-VFD	CV12 VFD fault	CV12.VfdFault
