name	address	data_type	direction	comment	conveyor
Line.EStopOk	%I0.0	Bool	input	Safety circuit healthy	
Line.Reset	%I0.1	Bool	input	Fault reset	
Line.AutoMode	%I0.2	Bool	input	Automatic mode	
Line.ManualMode	%I0.3	Bool	input	Manual mode	
Line.AlarmAck	%I0.4	Bool	input	Alarm acknowledge	
Line.Beacon	%Q0.0	Bool	output	Stack light	
Line.Horn	%Q0.1	Bool	output	Horn	
CV01.Start	%I0.5	Bool	input	Local start	CV01
CV01.Stop	%I0.6	Bool	input	Local stop	CV01
CV01.PEInfeed	%I0.7	Bool	input	PE infeed	CV01
CV01.PEDischarge	%I1.0	Bool	input	PE discharge	CV01
CV01.Jam	%I1.1	Bool	input	Jam sensor	CV01
CV01.ContactorFb	%I1.2	Bool	input	Contactor feedback	CV01
CV01.ProtectFb	%I1.3	Bool	input	Protection feedback	CV01
CV01.Ready	%I1.4	Bool	input	Section ready	CV01
CV01.RunCmd	%Q0.2	Bool	output	Run command	CV01
CV01.FaultLamp	%Q0.3	Bool	output	Fault lamp	CV01
CV01.VfdFault	%I1.5	Bool	input	VFD fault	CV01
CV01.VfdReady	%I1.6	Bool	input	VFD ready	CV01
CV01.SpeedAct	%IW64	Int	input	Actual speed	CV01
CV01.SpeedSp	%QW64	Int	output	Speed setpoint	CV01
CV02.Start	%I1.7	Bool	input	Local start	CV02
CV02.Stop	%I2.0	Bool	input	Local stop	CV02
CV02.PEInfeed	%I2.1	Bool	input	PE infeed	CV02
CV02.PEDischarge	%I2.2	Bool	input	PE discharge	CV02
CV02.Jam	%I2.3	Bool	input	Jam sensor	CV02
CV02.ContactorFb	%I2.4	Bool	input	Contactor feedback	CV02
CV02.ProtectFb	%I2.5	Bool	input	Protection feedback	CV02
CV02.Ready	%I2.6	Bool	input	Section ready	CV02
CV02.RunCmd	%Q0.4	Bool	output	Run command	CV02
CV02.FaultLamp	%Q0.5	Bool	output	Fault lamp	CV02
CV03.Start	%I2.7	Bool	input	Local start	CV03
CV03.Stop	%I3.0	Bool	input	Local stop	CV03
CV03.PEInfeed	%I3.1	Bool	input	PE infeed	CV03
CV03.PEDischarge	%I3.2	Bool	input	PE discharge	CV03
CV03.Jam	%I3.3	Bool	input	Jam sensor	CV03
CV03.ContactorFb	%I3.4	Bool	input	Contactor feedback	CV03
CV03.ProtectFb	%I3.5	Bool	input	Protection feedback	CV03
CV03.Ready	%I3.6	Bool	input	Section ready	CV03
CV03.RunCmd	%Q0.6	Bool	output	Run command	CV03
CV03.FaultLamp	%Q0.7	Bool	output	Fault lamp	CV03
CV03.RevCmd	%Q1.0	Bool	output	Reverse command	CV03
CV03.VfdFault	%I3.7	Bool	input	VFD fault	CV03
CV03.VfdReady	%I4.0	Bool	input	VFD ready	CV03
CV03.SpeedAct	%IW66	Int	input	Actual speed	CV03
CV03.SpeedSp	%QW66	Int	output	Speed setpoint	CV03
CV04.Start	%I4.1	Bool	input	Local start	CV04
CV04.Stop	%I4.2	Bool	input	Local stop	CV04
CV04.PEInfeed	%I4.3	Bool	input	PE infeed	CV04
CV04.PEDischarge	%I4.4	Bool	input	PE discharge	CV04
CV04.Jam	%I4.5	Bool	input	Jam sensor	CV04
CV04.ContactorFb	%I4.6	Bool	input	Contactor feedback	CV04
CV04.ProtectFb	%I4.7	Bool	input	Protection feedback	CV04
CV04.Ready	%I5.0	Bool	input	Section ready	CV04
CV04.RunCmd	%Q1.1	Bool	output	Run command	CV04
CV04.FaultLamp	%Q1.2	Bool	output	Fault lamp	CV04
CV04.VfdFault	%I5.1	Bool	input	VFD fault	CV04
CV04.VfdReady	%I5.2	Bool	input	VFD ready	CV04
CV04.SpeedAct	%IW68	Int	input	Actual speed	CV04
CV04.SpeedSp	%QW68	Int	output	Speed setpoint	CV04
CV05.Start	%I5.3	Bool	input	Local start	CV05
CV05.Stop	%I5.4	Bool	input	Local stop	CV05
CV05.PEInfeed	%I5.5	Bool	input	PE infeed	CV05
CV05.PEDischarge	%I5.6	Bool	input	PE discharge	CV05
CV05.Jam	%I5.7	Bool	input	Jam sensor	CV05
CV05.ContactorFb	%I6.0	Bool	input	Contactor feedback	CV05
CV05.ProtectFb	%I6.1	Bool	input	Protection feedback	CV05
CV05.Ready	%I6.2	Bool	input	Section ready	CV05
CV05.RunCmd	%Q1.3	Bool	output	Run command	CV05
CV05.FaultLamp	%Q1.4	Bool	output	Fault lamp	CV05
CV06.Start	%I6.3	Bool	input	Local start	CV06
CV06.Stop	%I6.4	Bool	input	Local stop	CV06
CV06.PEInfeed	%I6.5	Bool	input	PE infeed	CV06
CV06.PEDischarge	%I6.6	Bool	input	PE discharge	CV06
CV06.Jam	%I6.7	Bool	input	Jam sensor	CV06
CV06.ContactorFb	%I7.0	Bool	input	Contactor feedback	CV06
