block,variable,kind,network
OB1,FC_Mode,call,1
FB_ConveyorCtrl,CV01.Start,read,1
FB_ConveyorCtrl,CV01.RunCmd,write,1
FB_ConveyorCtrl,CV02.Start,read,1
FB_ConveyorCtrl,CV02.RunCmd,write,1
FB_ConveyorCtrl,CV03.Start,read,1
FB_ConveyorCtrl,CV03.RunCmd,write,1
FB_ConveyorCtrl,CV04.Start,read,1
FB_ConveyorCtrl,CV04.RunCmd,write,1
FB_ConveyorCtrl,CV05.Start,read,1
FB_ConveyorCtrl,CV05.RunCmd,write,1
FB_ConveyorCtrl,CV06.Start,read,1
FB_ConveyorCtrl,CV06.RunCmd,write,1
FB_ConveyorCtrl,CV07.Start,read,1
FB_ConveyorCtrl,CV07.RunCmd,write,1
FB_ConveyorCtrl,CV08.Start,read,1
FB_ConveyorCtrl,CV08.RunCmd,write,1
FB_ConveyorCtrl,CV09.Start,read,1
FB_ConveyorCtrl,CV09.RunCmd,write,1
FB_ConveyorCtrl,CV10.Start,read,1
FB_ConveyorCtrl,CV10.RunCmd,write,1
FB_ConveyorCtrl,CV11.Start,read,1
FB_ConveyorCtrl,CV11.RunCmd,write,1
FB_ConveyorCtrl,CV12.Start,read,1
FB_ConveyorCtrl,CV12.RunCmd,write,1
