id	role	cable
XA:1.1	source	W-CV01-RUN
XA:1.2	load	W-CV01-RUN
XA:2.1	source	W-CV02-RUN
XA:2.2	load	W-CV02-RUN
XA:3.1	source	W-CV03-RUN
XA:3.2	load	W-CV03-RUN
XA:4.1	source	W-CV04-RUN
XA:4.2	load	W-CV04-RUN
XA:5.1	source	W-CV05-RUN
XA:5.2	load	W-CV05-RUN
XA:6.1	source	W-CV06-RUN
XA:6.2	load	W-CV06-RUN
XB:7.1	source	W-CV07-RUN
XB:7.2	load	W-CV07-RUN
XB:8.1	source	W-CV08-RUN
XB:8.2	load	W-CV08-RUN
XB:9.1	source	W-CV09-RUN
XB:9.2	load	W-CV09-RUN
XB:10.1	source	W-CV10-RUN
XB:10.2	load	W-CV10-RUN
XB:11.1	source	W-CV11-RUN
XB:11.2	load	W-CV11-RUN
XB:12.1	source	W-CV12-RUN
XB:12.2	load	W-CV12-RUN
